Method,Number_of_clusters,ARI,NMI,Purity,Silhouette
K-means,9,0.7718035706268414,0.8655392135825614,0.9530638852672751,0.07397861033678055
Leiden,7,0.9086792808767674,0.8901467065568631,0.9295958279009127,0.07163160294294357
