tumor_cluster,tumor_state,n_cells,mean_proliferation,mean_basal,mean_epithelial,mean_stress
0,Intermediate epithelial,40,0.027401283611853934,-0.14219661132991315,0.21531647124374756,0.18644732555747034
1,Stress-responsive epithelial,31,0.02989097436269125,-0.16889919788606705,0.36000038302655557,0.4967361734759423
2,Proliferative,42,0.29120579762118204,-0.05864361507552009,0.23931744803941957,0.1525280877049007
