predicted_celltype,cell_count,percentage
CAFs,374,24.38070404172099
PVL,317,20.664928292046937
Endothelial,287,18.709256844850064
Myeloid,176,11.473272490221643
Cancer Epithelial,125,8.148631029986962
T-cells,116,7.561929595827902
Plasmablasts,82,5.345501955671447
B/Plasmablast,57,3.715775749674054
