PC1_loading,PC2_loading,Ensembl_ID_versioned,Ensembl_ID,gene_symbol
-0.01211025087294016,0.007474071715550266,ENSG00000166509.12,ENSG00000166509,CLEC3A
-0.013372401323304238,0.015797006937524928,ENSG00000110484.7,ENSG00000110484,SCGB2A2
-0.01887302211597018,0.008255605742604552,ENSG00000153002.12,ENSG00000153002,CPB1
-0.0030415195299462517,0.004600602374247469,ENSG00000134184.13,ENSG00000134184,GSTM1
-0.02293059442793438,0.006938997072317941,ENSG00000162989.5,ENSG00000162989,KCNJ3
-0.0269681443076687,0.017531097785422927,ENSG00000160182.3,ENSG00000160182,TFF1
-0.013294917245176707,0.015045130232221182,ENSG00000124935.4,ENSG00000124935,SCGB1D2
0.014021612072319457,0.0001847186597479622,ENSG00000143556.9,ENSG00000143556,S100A7
-0.02267872360727577,0.021587955024411676,ENSG00000148513.18,ENSG00000148513,ANKRD30A
-0.0224622277342495,0.020716500761726153,ENSG00000235687.9,ENSG00000235687,LINC00993
-0.013018794630545175,0.009938808677381,ENSG00000244468.1,ENSG00000244468,AC093001.1
-0.0121259965612096,0.008524296256647936,ENSG00000170419.11,ENSG00000170419,VSTM2A
-0.017300629904267072,0.0072659108534956374,ENSG00000170099.6,ENSG00000170099,SERPINA6
-0.016565800736941173,0.00831387017375682,ENSG00000235123.5,ENSG00000235123,DSCAM-AS1
-0.026228364838359386,0.0135945115168564,ENSG00000256612.7,ENSG00000256612,CYP2B7P
-0.01623058081470033,0.0142635391395138,ENSG00000159763.4,ENSG00000159763,PIP
0.018870683117549587,-0.00623871477001493,ENSG00000185686.18,ENSG00000185686,PRAME
0.0011236022505637967,0.015807287250294393,ENSG00000172551.11,ENSG00000172551,MUCL1
0.0039729800589721415,-0.0050685481850136944,ENSG00000226278.1,ENSG00000226278,PSPHP1
-0.00866731798624635,0.012147429735849827,ENSG00000213759.10,ENSG00000213759,UGT2B11
-0.013710394752242516,0.018369544119698183,ENSG00000134240.12,ENSG00000134240,HMGCS2
0.010715524204155702,-0.007082196649081074,ENSG00000105141.6,ENSG00000105141,CASP14
-0.015740635486165933,0.010886024409605316,ENSG00000164756.12,ENSG00000164756,SLC30A8
-0.023509188441026074,0.00859141217612825,ENSG00000173335.5,ENSG00000173335,CST9
-0.0033294563354730293,0.010385209015264369,ENSG00000184956.16,ENSG00000184956,MUC6
-0.00553343286111253,0.019064686846687065,ENSG00000008196.13,ENSG00000008196,TFAP2B
0.009732378375073052,-0.0034693578275639086,ENSG00000159184.8,ENSG00000159184,HOXB13
-0.013575258901813117,0.01712113650389228,ENSG00000186160.5,ENSG00000186160,CYP4Z1
-0.02283770377282761,0.021105097960035343,ENSG00000234918.1,ENSG00000234918,AL157387.1
-0.03111036047645135,0.01747426579703867,ENSG00000173467.9,ENSG00000173467,AGR3
-0.025247823954099944,0.020164760989609967,ENSG00000286208.1,ENSG00000286208,AC093838.1
-0.02464587291284451,0.018091956301270213,ENSG00000169347.17,ENSG00000169347,GP2
0.02547854517531223,0.011311030743324577,ENSG00000181617.6,ENSG00000181617,FDCSP
-0.01298302992640063,0.005203929801223726,ENSG00000120251.21,ENSG00000120251,GRIA2
-0.0015410390744655003,0.02736657363466441,ENSG00000181092.10,ENSG00000181092,ADIPOQ
-0.000992517028290113,0.03007737773518956,ENSG00000196616.14,ENSG00000196616,ADH1B
0.0025398815291126343,0.005155151938863882,ENSG00000256870.3,ENSG00000256870,SLC5A8
-0.022347251807250633,0.009601500253976167,ENSG00000248779.1,ENSG00000248779,AC093297.1
-0.016464017827900513,0.00803683533117411,ENSG00000100867.15,ENSG00000100867,DHRS2
-0.021706378014539854,0.004969287833208532,ENSG00000287900.1,ENSG00000287900,AC061961.1
-0.014772635660585646,0.010844667764910146,ENSG00000166006.14,ENSG00000166006,KCNC2
-0.024277846264335077,0.010712065295176702,ENSG00000223808.1,ENSG00000223808,AC044784.1
0.00970329998416894,0.01348704735538802,ENSG00000167757.14,ENSG00000167757,KLK11
0.007139043373908979,0.005831353135388883,ENSG00000162670.11,ENSG00000162670,BRINP3
0.015918412281873177,-0.00025860480907108715,ENSG00000178372.8,ENSG00000178372,CALML5
-0.011888376805032706,0.004344932167155534,ENSG00000019505.8,ENSG00000019505,SYT13
-0.01868950095741454,0.009187238666086329,ENSG00000105388.16,ENSG00000105388,CEACAM5
-0.012910479630657725,-0.0014045610626950138,ENSG00000135346.9,ENSG00000135346,CGA
0.02644238488462665,0.0030219311699450037,ENSG00000164434.12,ENSG00000164434,FABP7
-0.024387575706112392,0.00948369630052449,ENSG00000249203.2,ENSG00000249203,LINC02224
-0.009476102599247272,0.011601739835263638,ENSG00000122584.13,ENSG00000122584,NXPH1
0.020948628242697394,0.01213363051555904,ENSG00000100146.18,ENSG00000100146,SOX10
-0.024598838731030775,0.02004726269000768,ENSG00000224559.2,ENSG00000224559,LINC01087
-0.00699431356867732,0.01680148142021877,ENSG00000198650.11,ENSG00000198650,TAT
-0.0027919598232280067,0.005548245643633584,ENSG00000096006.12,ENSG00000096006,CRISP3
-0.013915203403229668,0.006362862564601209,ENSG00000241361.8,ENSG00000241361,SLC25A24P1
-0.011997785084129846,0.016408275769063625,ENSG00000186526.13,ENSG00000186526,CYP4F8
0.007274403743446625,0.012687089061135566,ENSG00000196091.15,ENSG00000196091,MYBPC1
-0.0021771525802882106,0.002110851472061726,ENSG00000204792.2,ENSG00000204792,LINC01291
0.0022262045527432313,0.0026066747859747204,ENSG00000161634.12,ENSG00000161634,DCD
0.014288452361217582,0.015344237634679625,ENSG00000186847.6,ENSG00000186847,KRT14
-0.028380275085263803,0.015145627216121173,ENSG00000160180.15,ENSG00000160180,TFF3
0.027745295161007127,0.008159991993550742,ENSG00000094755.17,ENSG00000094755,GABRP
-0.0065648416239836695,0.016237048593429296,ENSG00000145451.13,ENSG00000145451,GLRA3
-0.019306428513745613,0.007599491543174577,ENSG00000138696.11,ENSG00000138696,BMPR1B
-0.01106361915247175,0.0014406391456459153,ENSG00000139352.4,ENSG00000139352,ASCL1
-0.007274643511466197,0.007937226888399304,ENSG00000133169.6,ENSG00000133169,BEX1
0.014609821881767121,0.013895425849360044,ENSG00000102837.7,ENSG00000102837,OLFM4
-0.013031122819581513,0.008973554038427515,ENSG00000100362.13,ENSG00000100362,PVALB
-0.018372683685274505,0.008589506177677361,ENSG00000170367.5,ENSG00000170367,CST5
0.01163316187339885,0.007774237583687979,ENSG00000171102.14,ENSG00000171102,OBP2B
-0.005994044850483414,0.012529733178790468,ENSG00000141668.10,ENSG00000141668,CBLN2
0.023256807067843856,0.0053574761338164535,ENSG00000185479.6,ENSG00000185479,KRT6B
-0.0006477872407256385,-0.0007484593351008199,ENSG00000139219.19,ENSG00000139219,COL2A1
-0.014024765026384348,0.011852015536597028,ENSG00000164128.7,ENSG00000164128,NPY1R
-0.027599284995025366,0.018481777550252505,ENSG00000183888.4,ENSG00000183888,SRARP
