mean_basal,mean_luminal_a,mean_difference,p_value,FDR,regulation,Ensembl_ID_versioned,Ensembl_ID,gene_symbol,minus_log10_FDR
2.671033738551035,12.027086380813012,-9.356052642261977,4.15104064669374e-79,3.939545145963184e-76,LuminalA-up,ENSG00000160182.3,ENSG00000160182,TFF1,75.40455391827638
4.050616859331556,12.73593891655984,-8.685322057228284,7.760322601924771e-84,1.3006300680825916e-79,LuminalA-up,ENSG00000173467.9,ENSG00000173467,AGR3,78.88584621015328
2.43465769169227,10.67786847934677,-8.243210787654501,3.63419871890065e-71,8.518765108919564e-69,LuminalA-up,ENSG00000148513.18,ENSG00000148513,ANKRD30A,68.06962335655395
2.7625963059576035,10.981368171960824,-8.21877186600322,5.0430999795344825e-71,1.1656633927907131e-68,LuminalA-up,ENSG00000235687.9,ENSG00000235687,LINC00993,67.93342684216586
5.238552177200421,13.04224541498246,-7.803693237782039,2.0341753201235157e-79,2.2728518910180082e-76,LuminalA-up,ENSG00000160180.15,ENSG00000160180,TFF3,75.64342886388319
3.7193870662891135,11.129659175997139,-7.410272109708025,3.5499154760444244e-74,1.2395121537188449e-71,LuminalA-up,ENSG00000256612.7,ENSG00000256612,CYP2B7P,70.90674921051202
2.161885064156329,9.560938739199905,-7.399053675043576,2.319792662506433e-72,6.270923390904487e-70,LuminalA-up,ENSG00000169347.17,ENSG00000169347,GP2,69.2026685047757
1.1000930636382416,8.499046948130662,-7.39895388449242,1.9438862710641107e-81,5.960227468270038e-78,LuminalA-up,ENSG00000183888.4,ENSG00000183888,SRARP,77.22473716537229
1.3390406831404298,8.707546003895924,-7.368505320755494,2.0745759759798955e-71,5.113219611385743e-69,LuminalA-up,ENSG00000234918.1,ENSG00000234918,AL157387.1,68.2913055540435
7.454974237781766,14.77371266879706,-7.318738431015294,3.469399245677851e-81,6.546773833415247e-78,LuminalA-up,ENSG00000106541.12,ENSG00000106541,AGR2,77.18397266207118
0.9081159656391117,8.066126879707312,-7.158010914068201,1.981916105172269e-70,4.204672648441421e-68,LuminalA-up,ENSG00000286208.1,ENSG00000286208,AC093838.1,67.37626781021316
1.4986337282677233,8.618490701320898,-7.119856973053174,7.389190192229542e-78,5.384470766163788e-75,LuminalA-up,ENSG00000235584.3,ENSG00000235584,AC008268.1,74.26885697660553
5.724038552351171,12.587180991018698,-6.863142438667527,9.718063407458241e-48,2.830143226915728e-46,LuminalA-up,ENSG00000110484.7,ENSG00000110484,SCGB2A2,45.54819158529367
8.30890342775133,14.865226945318382,-6.556323517567051,1.1925003158102925e-82,4.9965763232451256e-79,LuminalA-up,ENSG00000091831.24,ENSG00000091831,ESR1,78.30132747430717
1.5588455559398866,8.105435016846325,-6.546589460906438,2.821426914887556e-68,4.6588290732527526e-66,LuminalA-up,ENSG00000224559.2,ENSG00000224559,LINC01087,65.33172322299347
2.633680726064326,9.149235655617636,-6.51555492955331,2.6885404011616983e-75,1.1553830031658992e-72,LuminalA-up,ENSG00000186910.4,ENSG00000186910,SERPINA11,71.93727402565176
7.8749120612208525,14.373474664095411,-6.498562602874559,2.877865946736651e-83,1.9293213306922506e-79,LuminalA-up,ENSG00000129514.8,ENSG00000129514,FOXA1,78.71459543408521
6.049753226031265,12.405306071968841,-6.355552845937576,1.6852338648938488e-76,9.574413415464714e-74,LuminalA-up,ENSG00000082175.15,ENSG00000082175,PGR,73.01888782396304
5.162192336555911,11.493857918528327,-6.331665581972416,3.385267737405317e-80,4.728090606576093e-77,LuminalA-up,ENSG00000178568.15,ENSG00000178568,ERBB4,76.32531420946204
2.6499327242337207,8.933706707229595,-6.283773982995874,1.1537837131541985e-77,8.057256263526819e-75,LuminalA-up,ENSG00000006071.15,ENSG00000006071,ABCC8,74.093812823266
2.2459651891883574,8.48841841229322,-6.242453223104862,2.0311635481053426e-83,1.702115053312277e-79,LuminalA-up,ENSG00000225362.10,ENSG00000225362,CT62,78.76901108741838
3.723002135238107,9.96383392543829,-6.2408317902001835,9.020859452667486e-83,4.319702983620202e-79,LuminalA-up,ENSG00000139865.16,ENSG00000139865,TTC6,78.36454611360392
5.171453035315345,11.392465432832694,-6.221012397517349,2.063828202849818e-52,8.467505674360576e-51,LuminalA-up,ENSG00000159763.4,ENSG00000159763,PIP,50.07224450364788
1.8591352016505098,8.070526190843552,-6.211390989193042,5.525460821621791e-75,2.2049219850090765e-72,LuminalA-up,ENSG00000255774.2,ENSG00000255774,LINC02747,71.65660677221857
