,,test_statistic,p,-log2(p),p_bonferroni,significant_bonferroni
Stage I,Stage II,2.6690782414037213,0.10231526506897462,3.288906688842609,0.6138915904138478,False
Stage I,Stage III,13.778663230952121,0.00020565872169919065,12.24746012373178,0.0012339523301951438,True
Stage I,Stage IV,77.73652882734577,1.1774356785567914e-18,59.55905745812321,7.064614071340748e-18,True
Stage II,Stage III,11.637536553253288,0.0006463414362730591,10.595415895299526,0.0038780486176383543,True
Stage II,Stage IV,74.94457974273502,4.841144229934919e-18,57.519357631598126,2.9046865379609515e-17,True
Stage III,Stage IV,27.123813065635357,1.9083271769464865e-07,22.321188125943078,1.1449963061678919e-06,True
