mean_basal,mean_luminal_a,mean_difference,p_value,FDR,regulation,Ensembl_ID_versioned,Ensembl_ID,gene_symbol,minus_log10_FDR
9.143688398824738,2.6431515439267463,6.500536854897991,2.0203051897737183e-82,7.524514440135003e-79,Basal-up,ENSG00000280916.2,ENSG00000280916,FOXCUT,78.123521520023
9.994717504029532,3.779097119861454,6.215620384168078,1.3281801807507275e-65,1.5957204178768596e-63,Basal-up,ENSG00000102243.13,ENSG00000102243,VGLL1,62.79704319795373
6.299499753889131,0.21082656848286702,6.088673185406264,1.2046034925703875e-71,3.1060237746891837e-69,Basal-up,ENSG00000204019.5,ENSG00000204019,CT83,68.50779522433933
8.795816271716802,2.7631255442703213,6.0326907274464805,4.764490716791629e-65,5.41375351955442e-63,Basal-up,ENSG00000156219.17,ENSG00000156219,ART3,62.26650152092129
8.76666015568156,2.7907065702740064,5.975953585407554,2.37797812398924e-71,5.776074399718793e-69,Basal-up,ENSG00000065371.17,ENSG00000065371,ROPN1,68.2383672213977
8.17695176201804,2.2943384992311473,5.882613262786894,1.9637263780546104e-52,8.096446272126758e-51,Basal-up,ENSG00000143452.16,ENSG00000143452,HORMAD1,50.0917055617468
10.212900943763534,4.340520432208258,5.872380511555276,1.248290376686802e-65,1.5105665496946425e-63,Basal-up,ENSG00000166535.20,ENSG00000166535,A2ML1,62.820860136641286
9.909251578699244,4.310084111216923,5.599167467482322,8.665241600017174e-67,1.2052236449484468e-64,Basal-up,ENSG00000261175.6,ENSG00000261175,LINC02188,63.9189323566121
10.221689397641637,4.63739372387835,5.584295673763287,6.020463169393988e-42,1.2105934339417305e-40,Basal-up,ENSG00000185686.18,ENSG00000185686,PRAME,39.91700168595841
7.4986240376363185,1.967236994604008,5.531387043032311,2.310390758101161e-67,3.411643093019864e-65,Basal-up,ENSG00000136928.7,ENSG00000136928,GABBR2,64.46703640858291
7.773957557756795,2.389288367256247,5.3846691905005475,7.29176056215467e-56,3.766098829636742e-54,Basal-up,ENSG00000258910.3,ENSG00000258910,LINC01956,53.42410828745193
6.859541052810013,1.4763323826345707,5.383208670175443,2.824216954416818e-70,5.8799846156553874e-68,Basal-up,ENSG00000229544.9,ENSG00000229544,NKX1-2,67.23062381020698
14.141303946407701,8.843982977420676,5.297320968987025,3.908628140421712e-58,2.426244727165477e-56,Basal-up,ENSG00000094755.17,ENSG00000094755,GABRP,55.61506539543271
12.282031770649017,7.051348158495057,5.2306836121539595,3.203293501790056e-62,2.7531896969231454e-60,Basal-up,ENSG00000186832.9,ENSG00000186832,KRT16,59.56016386434633
9.780926324406222,4.743297828293976,5.037628496112246,2.815124624927041e-38,4.569635710777453e-37,Basal-up,ENSG00000102854.16,ENSG00000102854,MSLN,36.34011842030327
8.823770851863689,3.7998688599271686,5.02390199193652,1.2089469453363292e-46,3.299991987595583e-45,Basal-up,ENSG00000164434.12,ENSG00000164434,FABP7,44.481487114590976
5.474960573693755,0.5642783591640137,4.910682214529741,5.396908128462689e-81,9.521282129793124e-78,Basal-up,ENSG00000257271.1,ENSG00000257271,KIRREL3-AS1,77.02130456585903
8.527263402110759,3.654729934439726,4.872533467671032,1.3882281753995575e-52,5.766221615786018e-51,Basal-up,ENSG00000152977.10,ENSG00000152977,ZIC1,50.2391086701921
5.5851888490890165,0.7366671269308754,4.848521722158141,1.4267806223841625e-60,1.082029105482288e-58,Basal-up,ENSG00000103355.13,ENSG00000103355,PRSS33,57.965761056992534
6.828272363688989,2.0621104224029247,4.7661619412860645,1.6690778631787938e-68,2.85446377417108e-66,Basal-up,ENSG00000186007.10,ENSG00000186007,LEMD1,65.5444754642276
10.484081127271539,5.769052279062549,4.7150288482089895,5.823488084769937e-69,1.0608876119646103e-66,Basal-up,ENSG00000198729.5,ENSG00000198729,PPP1R14C,65.97433062183748
5.837425622796587,1.1534924622923617,4.683933160504226,2.5140546446276185e-74,9.061409858915889e-72,Basal-up,ENSG00000254416.6,ENSG00000254416,LINC02732,71.04280422546759
11.863883897149982,7.203230389134308,4.660653508015674,4.365973989960109e-53,1.8762493351726007e-51,Basal-up,ENSG00000135374.11,ENSG00000135374,ELF5,50.72670944863591
8.896281556868528,4.279310122111409,4.61697143475712,7.992399490342171e-58,4.809788705857623e-56,Basal-up,ENSG00000114547.10,ENSG00000114547,ROPN1B,55.31787400177495
5.06221088712365,0.46075810652465743,4.601452780598993,4.130152740739997e-72,1.1075417589568377e-69,Basal-up,ENSG00000224853.3,ENSG00000224853,LINC00393,68.95563989007769
7.174974653107197,2.5865892734387455,4.588385379668452,2.3043866414436057e-41,4.4908744314645155e-40,Basal-up,ENSG00000167656.5,ENSG00000167656,LY6D,39.34766908799773
8.319292625159877,3.7554751933031607,4.563817431856716,6.27436630039679e-50,2.154884819562504e-48,Basal-up,ENSG00000107159.13,ENSG00000107159,CA9,47.66657593829456
11.397085100656502,6.8364505107785245,4.560634589877978,6.332382729557157e-79,5.73679646202043e-76,Basal-up,ENSG00000135069.14,ENSG00000135069,PSAT1,75.24133055834302
6.834289703460388,2.308606401903299,4.525683301557089,1.6418740716369418e-52,6.811338970454244e-51,Basal-up,ENSG00000189001.11,ENSG00000189001,SBSN,50.16676750624879
10.250948297920567,5.7772933259167365,4.473654972003831,1.1796269018449466e-27,1.031865703283993e-26,Basal-up,ENSG00000181617.6,ENSG00000181617,FDCSP,25.986376822202967
