pam50_subtype,ESR1,PGR,GATA3,FOXA1,ERBB2,FOXC1,KRT5,KRT14,KRT17
Luminal A,14.865226945318383,12.405306071968848,15.291597054505123,14.373474664095403,14.429499516037279,8.536764703732391,10.934937115207843,10.55986858756595,10.939066646488289
Luminal B,15.245904353844784,11.002851227500912,15.430266223902654,14.568033144413713,14.541645224253205,7.72762696514745,8.016121669632001,7.348100825803144,8.250023168789271
Basal-like,8.30890342775133,6.049753226031265,10.868294900715561,7.874912061220857,13.275004546120732,12.40903146354667,13.514383443751774,11.746959589325874,13.332352256905263
HER2-enriched,9.641724376365403,7.172054261312694,13.171489608560906,13.972313508415956,17.0463896812644,7.962971934835985,9.537400520734966,7.907431992297199,9.864537066042734
Normal-like,11.50600735770932,9.977785179172646,12.955969539912735,12.225093715627532,14.067214093774528,10.225884136324314,14.51743155060813,13.885314090218893,13.86309915781253
