pam50_subtype,ESR1,PGR,GATA3,FOXA1,ERBB2,FOXC1,KRT5,KRT14,KRT17
Luminal A,0.9559184561553324,1.1636410257659786,0.9259559193638408,0.6323096284722388,-0.17110881238990902,-0.4267450774927209,-0.13643179580770393,0.09962387057496579,-0.131963502033179
Luminal B,1.0792032780620682,0.6344312075701021,0.9994090846344243,0.701785292379174,-0.09196246393434998,-0.8399306812080873,-1.2152724598063684,-1.0839832382084749,-1.2738998555274101
Basal-like,-1.1673889929394323,-1.2345973056855626,-1.4170706203899772,-1.6882880167027232,-0.9858886433155153,1.5506251557866013,0.8169726388759838,0.5370930316966059,0.8843755291112161
HER2-enriched,-0.7357463747984693,-0.8111022254802133,-0.19706661906284592,0.4890573910015088,1.6757501016240368,-0.719751941859961,-0.6529835736286886,-0.8778573929004261,-0.5882760908744906
Normal-like,-0.13198636647950024,0.24762729782969845,-0.3112277645454373,-0.13486429515019677,-0.42679018198426383,0.4358025447741708,1.187715190366774,1.325123728837329,1.109763919323866
