mean_basal,mean_luminal_a,mean_difference,p_value,FDR,regulation,Ensembl_ID_versioned,Ensembl_ID,gene_symbol,minus_log10_FDR
11.776748146290723,11.174279459522358,0.6024686867683648,2.1564384023795852e-10,6.204619334571992e-10,Not significant,ENSG00000000003.15,ENSG00000000003,TSPAN6,9.207284858156566
3.186637314416096,4.107352888787357,-0.9207155743712612,6.094395690395075e-07,1.3419440553244624e-06,Not significant,ENSG00000000005.6,ENSG00000000005,TNMD,5.872265589211976
11.344123101992407,10.90434369783531,0.4397794041570968,5.466792084844145e-16,2.3207557077504525e-15,Not significant,ENSG00000000419.13,ENSG00000000419,DPM1,14.634370572753793
10.120520052430527,10.66909692372318,-0.5485768712926529,2.347121953762973e-14,8.924175123654136e-14,Not significant,ENSG00000000457.14,ENSG00000000457,SCYL3,13.049431915921772
9.94195962721959,9.048020409523453,0.893939217696138,1.1633161755717317e-24,8.436685029243714e-24,Not significant,ENSG00000000460.17,ENSG00000000460,C1orf112,23.073828164311642
9.020721526718445,8.712891177790732,0.30783034892771255,0.000675228580006114,0.0011096564201502643,Not significant,ENSG00000000938.13,ENSG00000000938,FGR,2.9548114697997727
10.832980730912995,11.302385016365875,-0.46940428545287993,4.844330813519228e-06,9.831202329064874e-06,Not significant,ENSG00000000971.16,ENSG00000000971,CFH,5.007393365896518
11.42692958753746,11.062337679275492,0.36459190826196775,1.2247172416566822e-08,3.07578646439889e-08,Not significant,ENSG00000001036.14,ENSG00000001036,FUCA2,7.512043818595024
10.881317773002943,10.968264168310371,-0.08694639530742876,0.5070996350210598,0.5527905080266653,Not significant,ENSG00000001084.13,ENSG00000001084,GCLC,0.2574394228462921
11.954406850087768,11.375005098788625,0.5794017512991427,3.1111394711777936e-12,1.0236100812120107e-11,Not significant,ENSG00000001167.14,ENSG00000001167,NFYA,10.989865445534766
9.37350852069783,9.324229475987392,0.04927904471043831,0.41343040391872854,0.46061912980641434,Not significant,ENSG00000001460.18,ENSG00000001460,STPG1,0.33665802947025575
